date,rome,total,recuperees,nouvelles,modifiees
2026-09-22,D1415,348,348,0,0
2026-09-22,D1438,23,23,0,0
2026-09-22,D1506,140,140,0,0
2026-09-22,E1101,137,137,0,0
2026-09-22,E1103,185,185,0,0
2026-09-22,E1107,156,156,0,0
2026-09-22,E1112,317,317,0,0
2026-09-22,E1113,321,321,0,0
2026-09-22,E1124,42,42,0,0
2026-09-22,E1404,51,51,0,0
2026-09-22,E1405,31,31,0,0
2026-09-22,E1406,0,0,0,0
2026-09-22,M1426,34,34,0,0
2026-09-22,M1430,258,258,0,0
2026-09-22,M1620,150,150,0,0
2026-09-22,M1703,304,304,0,0
2026-09-22,M1705,226,226,0,0
2026-09-22,M1706,99,99,0,0
2026-09-22,M1711,48,48,0,0
2026-09-22,M1716,268,268,0,0
2026-09-22,M1718,113,113,0,0
2026-09-22,M1719,0,0,0,0
2026-09-22,M1886,111,111,0,0
2026-09-23,D1415,349,349,22,8
2026-09-23,D1438,29,29,6,0
2026-09-23,D1506,139,139,5,1
2026-09-23,E1101,141,141,11,2
2026-09-23,E1103,187,187,17,2
2026-09-23,E1107,155,155,7,0
2026-09-23,E1112,321,321,25,6
2026-09-23,E1113,288,288,47,6
2026-09-23,E1124,44,44,5,2
2026-09-23,E1404,50,50,2,0
2026-09-23,E1405,30,30,0,0
2026-09-23,E1406,0,0,0,0
2026-09-23,M1426,31,31,0,1
2026-09-23,M1430,268,268,20,1
2026-09-23,M1620,153,153,7,0
2026-09-23,M1703,302,302,11,3
2026-09-23,M1705,224,224,8,4
2026-09-23,M1706,100,100,5,0
2026-09-23,M1711,51,51,7,1
2026-09-23,M1716,267,267,4,0
2026-09-23,M1718,120,120,9,3
2026-09-23,M1719,1,1,1,0
2026-09-23,M1886,113,113,5,1
2026-09-24,D1415,358,358,1,0
2026-09-24,D1438,29,29,0,0
2026-09-24,D1506,136,136,0,0
2026-09-24,E1101,148,148,0,0
2026-09-24,E1103,189,189,0,0
2026-09-24,E1107,159,159,0,0
2026-09-24,E1112,317,317,0,0
2026-09-24,E1113,285,285,0,0
2026-09-24,E1124,45,45,0,0
2026-09-24,E1404,50,50,0,0
2026-09-24,E1405,30,30,0,0
2026-09-24,E1406,0,0,0,0
2026-09-24,M1426,37,37,0,0
2026-09-24,M1430,298,298,0,0
2026-09-24,M1620,149,149,0,0
2026-09-24,M1703,298,298,0,0
2026-09-24,M1705,240,240,0,0
2026-09-24,M1706,96,96,0,0
2026-09-24,M1711,46,46,0,0
2026-09-24,M1716,271,271,0,0
2026-09-24,M1718,123,123,0,0
2026-09-24,M1719,1,1,0,0
2026-09-24,M1886,115,115,0,0
2026-09-25,D1415,365,365,24,5
2026-09-25,D1438,30,30,2,0
2026-09-25,D1506,131,131,1,3
2026-09-25,E1101,147,147,5,0
2026-09-25,E1103,191,191,3,1
2026-09-25,E1107,139,139,7,1
2026-09-25,E1112,314,314,10,2
2026-09-25,E1113,292,292,12,7
2026-09-25,E1124,45,45,1,2
2026-09-25,E1404,46,46,0,0
2026-09-25,E1405,27,27,0,0
2026-09-25,E1406,0,0,0,0
2026-09-25,M1426,36,36,1,0
2026-09-25,M1430,288,288,7,2
2026-09-25,M1620,151,151,7,14
2026-09-25,M1703,293,293,10,9
2026-09-25,M1705,233,233,9,7
2026-09-25,M1706,92,92,1,3
2026-09-25,M1711,48,48,6,0
2026-09-25,M1716,269,269,2,1
2026-09-25,M1718,122,122,1,1
2026-09-25,M1719,1,1,0,0
2026-09-25,M1886,115,115,4,2
